Timestamp,Open,High,Low,Close,Volume,cci,roc,aroondown,aroonup,adx,di_plus,di_minus,mfi,rsi,slowk,slowd,fastk,fastd,macd,macdema,macdhist,upperband,middleband,lowerband,wma5,wma30,ema5,ema21,dema21,dema5,trima5,trima30,chaikin,score_twitter,volume_gg,volume_twitter,volume_wiki,average_block_utilization,block_gas_limit,block_mining_reward,block_size,blocks_per_day,difficulty,distinct_miners,fee_mining_reward,hashrate,market_cap,mining_revenue,mining_reward,new_accounts,total_ether_supply,total_gas_usage,transactions_per_day
1439251200,0.66000001,1.14,0.55000001,1.1,251.51708151,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.413069879763,0,3,0,686,0.985644275574465,3141341.30587121,2.64684375E+022,692.014015151515,5280,2036351692724.62,422,1.13114485860198E+019,134766886331.011,76734344.92375,220.539868469618,2.8039123948586E+022,1958,3.809009375E+023,163481740,4963
1439337600,1.05000001,1.39999999,0.9000006,1.38,404.34478077,,,,,,,,,,,,,,,,,,,,,,,,,,,,589.410244897875,-0.031512579512682,85,7,918,0.435506258535365,3141441.26151444,2.56940625E+022,653.426424668228,5124,2207069747966.05,387,3.25869924043777E+019,142999727420.3,90522827.9687501,239.541754613462,2.74035244924044E+022,395,4.08271875E+023,70102332,2036
1439424000,1.3,2.15,1.3,2.14,347.83749051,,,,,,,,,,,,,,,,,2.17838894206858,1.484000004,0.789611065931425,1.58133333533333,,1.484000004,,,,,,929.063323866463,-0.008188889688567,90,8,1071,0.531347917902425,3141450.74139236,2.650875E+022,665.722285281877,5286,2336918821280.81,407,2.49291691099431E+019,156606018231.665,128954824.29,321.581743726582,2.82930541691099E+022,619,4.3654E+023,88234087,2842
1439510400,2.14,2.15,2.14,2.15,24.91939484,,,,,,,,,,,,,,,,,2.49503193883858,1.634000002,0.772968065161416,1.803333334,,1.70600000266667,,,,,,953.982718706463,0.065007699644508,118,6,1054,0.431514700068088,3141480.80065416,2.913171875E+022,659.751420210019,5809,2670781953569.46,419,1.43548341128275E+019,196722874450.417,129734970.621562,283.173585538485,3.11210735841128E+022,732,4.6764671875E+023,78746522,3174
1439596800,1.625,2.19999999,1.15000001,1.5,33.62755862,,,,,,,,,,,,57.575757667585,85.6502525545596,,,,2.49681433305326,1.654,0.811185666946745,1.75866666666667,,1.63733333511111,,,,,,942.773532286288,0.073841428380883,134,7,610,0.3523012386686,3141520.85098476,2.697890625E+022,638.33519137867,5382,3378051268215.58,393,8.83659302804685E+018,227666580264.112,129786008.27625,224.246668658148,2.8521492843028E+022,443,4.96159375E+023,59565914,2284
1439683200,1.769999,1.77,1.11,1.12000001,199.61202688,,,,,,,,,,,,16.9230394792724,58.1662657156191,,,,2.49038452335537,1.658000002,0.825615480644635,1.58066667,,1.46488889340741,,,,,,749.210360754531,0.047163047965573,71,11,600,0.36125037210462,3141487.21551052,2.572015625E+022,640.653741231489,5132,3632373811115.39,436,6.67723792490556E+018,231942202730.598,99370544.8365625,160.077188158734,2.71012084879249E+022,329,5.2325390625E+023,58241191,2440
1439769600,1.7699999,1.7699999,1.34,1.52,26.25519431,,,,,,,,,,37.3711587970096,60.3958923557294,37.6146792441714,37.3711587970096,,,,2.48795760121831,1.686000002,0.884042402781687,1.53466666933333,,1.48325926227161,,,1.41142222505185,1.41142222505185,,744.936264467112,0.020382267842615,54,6,651,0.360259633945838,3141508.19842902,2.679390625E+022,634.707686553207,5347,3908163995546.81,388,7.64281183963496E+018,258915864704.976,86348022.341875,129.272083893845,2.81265490618396E+022,332,5.513728125E+023,60515132,2512
1439856000,1.565,1.565,1.01,1.01,92.15136276,,,,,,,,,,18.1792395744812,37.9055546957033,0,18.1792395744812,,,,2.25969994232762,1.460000002,0.660300061672378,1.30933333533333,,1.32550617484774,,,1.17244609175199,1.17244609175199,,652.784901707112,0.118763225315367,57,15,642,0.429844989380706,3141532.7932498,2.48009375E+022,648.488278092158,4948,4377788803560.64,361,1.1906071340176E+019,270470331405.17,92186158.17875,122.904025786862,2.61747185713402E+022,338,5.77535625E+023,66816413,2494
1439942400,1.085,1.4,1.085,1.3,66.18019973,,,,,,,,,,20.6614757827063,25.403958051399,24.3697481039475,20.6614757827063,,,,1.694376061232,1.290000002,0.885623942767997,1.25600000133333,,1.31700411656516,,,1.20929602231294,1.20929602231294,,676.945927005366,0.025917508863441,53,4,642,0.562487471066018,3141542.73516949,2.601640625E+022,653.321070878274,5192,4419487358839.53,318,1.54309506694802E+019,284044135458.749,91494658.276875,121.089640936588,2.72974622006695E+022,324,6.0481765625E+023,91746712,3246
1440028800,1.25000001,1.72999995,1.25000001,1.72999995,360.5846733,,,,,,,,,,39.7021945434211,26.1809699668695,94.7368355263158,39.7021945434211,,,,1.86007628894922,1.335999992,0.811923695050782,1.40266665066667,,1.45466939437677,,,1.47464085008304,1.47464085008304,,1037.53060030537,-0.005195844354362,46,12,678,0.499242986482329,3141571.18513916,2.016015625E+022,650.093190854871,4024,4469712964665.93,250,6.85556694270663E+018,221468069464.524,107501080.4775,140.763192474882,2.10638868169427E+022,246,6.258746875E+023,63112713,2303
