Timestamp,Open,High,Low,Close,Volume,cci,roc,aroondown,aroonup,adx,di_plus,di_minus,mfi,rsi,slowk,slowd,macd,macdema,macdhist,upperband,middleband,lowerband,wma5,wma30,ema5,ema21,dema21,dema5,trima5,trima30,chaikin,score_twitter,volume_gg,volume_twitter,volume_wiki,blocks-size,avg-block-size,n-transactions-per-block,median-confirmation-time,hash-rate,difficulty,miners-revenue,transaction-fees,cost-per-transaction-percent,cost-per-transaction,n-unique-addresses,n-transactions,n-transactions-total,n-transactions-excluding-popular,n-transactions-excluding-chains-longer-than-100,output-volume,estimated-transaction-volume-usd
1439251200,266.21932357,269.25604587,261.60615343,269.25604587,0.94345384,,,,,,,,,,,,,,,,,,,,,,,,,,2.15577782755473,0.163870097421835,1562,34,7975,41726,0.399886763313609,589,7.13333333333333,442733.25047769,52699842409.347,1130128.35,26.65997778,1.6400228048235,9.66557777340643,227498,116923,79587804,110280,62644,1195838.48023039,68909307
1439337600,269.25604587,275.6263664,263.32859493,265.413175,2.55771761,,,,,,,,,,,,,,,,,,,,,,,,,,0.465171330734992,0.117644373408215,1112,59,8033,41789,0.516044284552846,751,9.18333333333333,322225.975199738,52699842409.347,830459,25.19329055,1.21861509641145,7.17434386716658,232055,115754,79703558,109091,64037,1281112.96049936,68147769
1439424000,263.39255361,269.87728091,260,263,3.18938366,,,,,,,,,,,,,,,271.170257112491,266.550396298,261.930535483509,265.714861453333,,266.550396298,,,,,,-0.786806464800234,0.026340704046502,1164,65,9529,41853,0.431921798657718,828,8.78333333333333,390338.782965537,52699842409.347,997387.5,25.29193539,1.42702488487023,8.4284368239589,226126,118336,79821894,111008,64604,1461956.2745693,69892790
1439510400,260.143425,265,255,265,2.12871507,,,,,,,,,,,,,,,269.851747122863,265.777708888,261.703670653137,265.198062687333,,266.033597532,,,,,,1.34190860519977,0.126770876913343,1144,65,7164,41911,0.437152708955224,808,8.5,351042.932331422,52699842409.347,900557.27,23.62123658,1.26347811722696,8.34235544233441,220370,107950,79929844,104109,61797,1328948.01854493,71276048
1439596800,265,267,258.27685,258.27685,0.56467334,,,,,,,,,,,,,,,271.35572058492,264.189214174,257.02270776308,262.697776391333,,263.448015021333,,,,,,0.777235265199766,0.129352516056808,1350,69,6294,41970,0.442008417910448,753,9.38333333333333,351042.932331422,52699842409.347,894962.52,22.59740485,1.31318206666619,8.43357476041048,245458,106119,80035963,101858,59813,1201448.04046192,68152204
1439683200,257.89777067,264.818575,256.76429583,256.76429583,0.94027517,,,,,,,,,,,,,,,268.758898282462,261.690864166,254.622830049538,260.22280361,,261.220108624222,,,,,,-0.163039904800235,0.090300533476216,1672,80,6528,42022,0.358668891156462,755,7.45,385099.336214322,52699842409.347,950836.71,18.29530243,1.71076324190077,10.9817944631163,228284,86583,80122546,84478,51668,1145737.75450938,55579679
1439769600,257.00000516,263.884775,257.00000516,262.37255219,0.44061774,,,,,,,,,,24.6653590908627,25.6094085187739,,,,267.22807318596,261.082739604,254.93740602204,260.450032951333,,261.604256479481,,,259.437238167955,259.437238167955,,0.084016623306403,0.083028118659733,1448,86,7516,42082,0.419639277777778,704,7.28333333333333,377240.166087499,52699842409.347,932483.9,22.53259396,1.07835441179645,8.6142495542684,230212,108249,80230795,105299,63584,1414273.9932017,86472860
1439856000,262.38059156,262.38059156,174.57013394,178.7193125,12.5883254,,,,,,,,,,20.8661247373869,23.2795986765725,,,,309.993571234939,244.226602104,178.459632973061,232.99555725,,233.975941819654,,,214.112386505419,214.112386505419,,-11.3146734810432,0.119524430398309,1337,69,11266,42148,0.4606524,684,8.43333333333333,379859.889463106,52699842409.347,926771.5,25.78007236,1.02271703861354,7.71467398090418,244699,120131,80350926,116238,66001,1704654.57819601,90618565
1439942400,191.29999999,241.876825,191.29999999,226.99999929,23.38265523,,,,,,,,,,36.9229077209387,27.4847971830628,,,,299.764796801011,236.626601962,173.488407122989,227.253356312,,231.650627643103,,,216.858047982578,216.858047982578,,-1.68771313402373,0.127222510929361,1423,53,11741,42214,0.439980717105263,745,7.78333333333333,398197.95309236,52699842409.347,892100.96,24.77607127,0.963495876805029,7.26088162521162,247961,122864,80473790,119064,69895,1803977.19266956,92590013
1440028800,226.99999785,241.75778125,226.99999785,234,8.17811865,,,,,,,,,,42.35478349836,33.3812719855619,,,,291.123281752965,231.771231962,172.419182171035,226.377822324666,,232.433751762069,,,223.094114734363,223.094114734363,,-2.10764119654633,0.100356448212503,1534,52,10337,42273,0.385212729032258,906,8.48333333333333,406057.123219183,52699842409.347,909597,25.1348193,1.09428579791074,7.78537925603848,222182,116834,80590624,113433,65769,1570874.33075624,83122435
