date,ethereum
2016-02-12 02:00:00,2090
2016-02-13 02:00:00,1419
2016-02-14 02:00:00,1091
2016-02-15 02:00:00,1587
2016-02-16 02:00:00,1602
2016-02-17 02:00:00,1695
2016-02-18 02:00:00,1138
2016-02-19 02:00:00,1285
2016-02-20 02:00:00,1613
2016-02-21 02:00:00,1245
2016-02-22 02:00:00,1596
2016-02-23 02:00:00,1695
2016-02-24 02:00:00,1459
2016-02-25 02:00:00,1619
2016-02-26 02:00:00,1968
2016-02-27 02:00:00,1512
2016-02-28 02:00:00,1299
2016-02-29 02:00:00,1435
2016-03-01 02:00:00,1686
2016-03-02 02:00:00,2139
2016-03-03 02:00:00,2837
2016-03-04 02:00:00,2030
2016-03-05 02:00:00,2628
2016-03-06 02:00:00,2129
2016-03-07 02:00:00,1950
2016-03-08 02:00:00,1647
2016-03-09 02:00:00,1619
2016-03-10 02:00:00,1642
2016-03-11 02:00:00,1364
2016-03-12 02:00:00,1966
2016-03-13 02:00:00,2460
2016-03-14 02:00:00,2556
2016-03-15 02:00:00,2249
2016-03-16 02:00:00,1925
2016-03-17 02:00:00,1750
2016-03-18 02:00:00,1728
2016-03-19 02:00:00,1453
2016-03-20 02:00:00,2129
2016-03-21 02:00:00,2742
2016-03-22 02:00:00,1990
2016-03-23 02:00:00,1795
2016-03-24 02:00:00,1768
2016-03-25 02:00:00,1335
2016-03-26 02:00:00,1022
2016-03-27 02:00:00,1157
2016-03-28 02:00:00,3924
2016-03-29 02:00:00,3200
2016-03-30 02:00:00,2135
2016-03-31 02:00:00,1882
2016-04-01 02:00:00,1528
2016-04-02 02:00:00,1148
2016-04-03 02:00:00,1211
2016-04-04 02:00:00,1537
2016-04-05 02:00:00,1448
2016-04-06 02:00:00,1455
2016-04-07 02:00:00,1544
2016-04-08 02:00:00,1277
2016-04-09 02:00:00,1173
2016-04-10 02:00:00,1173
2016-04-11 02:00:00,1537
2016-04-12 02:00:00,1536
2016-04-13 02:00:00,1407
2016-04-14 02:00:00,1358
2016-04-15 02:00:00,1191
2016-04-16 02:00:00,950
2016-04-17 02:00:00,1014
2016-04-18 02:00:00,1265
2016-04-19 02:00:00,1264
2016-04-20 02:00:00,1323
2016-04-21 02:00:00,1412
2016-04-22 02:00:00,1238
2016-04-23 02:00:00,884
2016-04-24 02:00:00,890
2016-04-25 02:00:00,1371
2016-04-26 02:00:00,1263
2016-04-27 02:00:00,1335
2016-04-28 02:00:00,1279
2016-04-29 02:00:00,1282
2016-04-30 02:00:00,980
2016-05-01 02:00:00,1050
2016-05-02 02:00:00,2051
2016-05-03 02:00:00,1871
2016-05-04 02:00:00,1636
2016-05-05 02:00:00,1753
2016-05-06 02:00:00,1871
2016-05-07 02:00:00,1326
2016-05-08 02:00:00,1365
2016-05-09 02:00:00,1927
2016-05-10 02:00:00,2063
2016-05-11 02:00:00,1900
2016-05-12 02:00:00,2001
2016-05-13 02:00:00,1831
2016-05-14 02:00:00,1518
2016-05-15 02:00:00,1803
2016-05-16 02:00:00,3160
2016-05-17 02:00:00,3386
2016-05-18 02:00:00,3283
2016-05-19 02:00:00,3380
2016-05-20 02:00:00,3080
2016-05-21 02:00:00,2105
2016-05-22 02:00:00,2800
2016-05-23 02:00:00,3791
2016-05-24 02:00:00,3236
2016-05-25 02:00:00,4014
2016-05-26 02:00:00,3128
2016-05-27 02:00:00,3019
2016-05-28 02:00:00,2233
2016-05-29 02:00:00,2283
2016-05-30 02:00:00,2956
2016-05-31 02:00:00,3187
2016-06-01 02:00:00,2873
2016-06-02 02:00:00,2663
2016-06-03 02:00:00,2295
2016-06-04 02:00:00,1720
2016-06-05 02:00:00,1659
2016-06-06 02:00:00,2228
2016-06-07 02:00:00,2327
2016-06-08 02:00:00,2342
2016-06-09 02:00:00,2018
2016-06-10 02:00:00,1803
2016-06-11 02:00:00,1459
2016-06-12 02:00:00,1992
2016-06-13 02:00:00,2851
2016-06-14 02:00:00,3211
2016-06-15 02:00:00,2800
2016-06-16 02:00:00,3091
2016-06-17 02:00:00,7939
2016-06-18 02:00:00,5854
2016-06-19 02:00:00,4562
2016-06-20 02:00:00,4434
2016-06-21 02:00:00,4253
2016-06-22 02:00:00,2923
2016-06-23 02:00:00,2277
2016-06-24 02:00:00,1788
2016-06-25 02:00:00,1403
2016-06-26 02:00:00,1270
2016-06-27 02:00:00,1873
2016-06-28 02:00:00,1915
2016-06-29 02:00:00,1933
2016-06-30 02:00:00,1857
2016-07-01 02:00:00,1511
2016-07-02 02:00:00,1108
2016-07-03 02:00:00,1288
2016-07-04 02:00:00,1599
2016-07-05 02:00:00,1805
2016-07-06 02:00:00,1534
2016-07-07 02:00:00,1513
2016-07-08 02:00:00,1249
2016-07-09 02:00:00,1021
2016-07-10 02:00:00,1137
2016-07-11 02:00:00,1437
2016-07-12 02:00:00,1366
2016-07-13 02:00:00,1295
2016-07-14 02:00:00,1357
2016-07-15 02:00:00,1258
2016-07-16 02:00:00,973
2016-07-17 02:00:00,946
2016-07-18 02:00:00,1337
2016-07-19 02:00:00,1537
2016-07-20 02:00:00,1971
2016-07-21 02:00:00,3688
2016-07-22 02:00:00,2607
2016-07-23 02:00:00,1733
2016-07-24 02:00:00,1627
2016-07-25 02:00:00,2349
2016-07-26 02:00:00,4121
2016-07-27 02:00:00,2956
2016-07-28 02:00:00,2285
2016-07-29 02:00:00,1697
2016-07-30 02:00:00,1286
2016-07-31 02:00:00,1356
2016-08-01 02:00:00,1660
2016-08-02 02:00:00,1843
2016-08-03 02:00:00,2940
2016-08-04 02:00:00,2182
2016-08-05 02:00:00,1718
2016-08-06 02:00:00,1192
2016-08-07 02:00:00,1429
2016-08-08 02:00:00,1853
2016-08-09 02:00:00,1619
2016-08-10 02:00:00,1458
2016-08-11 02:00:00,1399
2016-08-12 02:00:00,1354
2016-08-13 02:00:00,942
2016-08-14 02:00:00,1006
2016-08-15 02:00:00,1485
2016-08-16 02:00:00,1494
2016-08-17 02:00:00,1410
2016-08-18 02:00:00,1341
2016-08-19 02:00:00,1348
2016-08-20 02:00:00,1146
2016-08-21 02:00:00,1178
2016-08-22 02:00:00,1666
2016-08-23 02:00:00,1737
2016-08-24 02:00:00,1600
2016-08-25 02:00:00,1935
2016-08-26 02:00:00,1530
2016-08-27 02:00:00,1252
2016-08-28 02:00:00,1535
2016-08-29 02:00:00,1778
2016-08-30 02:00:00,1624
2016-08-31 02:00:00,1565
2016-09-01 02:00:00,1427
2016-09-02 02:00:00,1430
2016-09-03 02:00:00,1096
2016-09-04 02:00:00,1104
2016-09-05 02:00:00,1266
2016-09-06 02:00:00,1637
2016-09-07 02:00:00,1508
2016-09-08 02:00:00,1343
2016-09-09 02:00:00,1254
2016-09-10 02:00:00,971
2016-09-11 02:00:00,1119
2016-09-12 02:00:00,1471
2016-09-13 02:00:00,1841
2016-09-14 02:00:00,1567
2016-09-15 02:00:00,1319
2016-09-16 02:00:00,1325
2016-09-17 02:00:00,1121
2016-09-18 02:00:00,1265
2016-09-19 02:00:00,1482
2016-09-20 02:00:00,1633
2016-09-21 02:00:00,1743
2016-09-22 02:00:00,1515
2016-09-23 02:00:00,1502
2016-09-24 02:00:00,1314
2016-09-25 02:00:00,1544
2016-09-26 02:00:00,1690
2016-09-27 02:00:00,1728
2016-09-28 02:00:00,1637
2016-09-29 02:00:00,1554
2016-09-30 02:00:00,1314
2016-10-01 02:00:00,960
2016-10-02 02:00:00,1153
2016-10-03 02:00:00,1397
2016-10-04 02:00:00,1741
2016-10-05 02:00:00,1647
2016-10-06 02:00:00,1554
2016-10-07 02:00:00,1403
2016-10-08 02:00:00,903
2016-10-09 02:00:00,1089
2016-10-10 02:00:00,1259
2016-10-11 02:00:00,1510
2016-10-12 02:00:00,1671
2016-10-13 02:00:00,1618
2016-10-14 02:00:00,1508
2016-10-15 02:00:00,1152
2016-10-16 02:00:00,1223
2016-10-17 02:00:00,1518
2016-10-18 02:00:00,1699
2016-10-19 02:00:00,1421
2016-10-20 02:00:00,1329
2016-10-21 02:00:00,1322
2016-10-22 02:00:00,900
2016-10-23 02:00:00,951
2016-10-24 02:00:00,1415
2016-10-25 02:00:00,1553
2016-10-26 02:00:00,1439
2016-10-27 02:00:00,1343
2016-10-28 02:00:00,1198
2016-10-29 02:00:00,951
2016-10-30 02:00:00,963
2016-10-31 02:00:00,1276
2016-11-01 02:00:00,1378
