date,score_twitter,volume_gg,volume_twitter,volume_wiki
1439078400,0.143948118958452,1623,37,6776
1439164800,0.101753402003739,1692,44,7722
1439251200,0.163870097421835,1562,34,7975
1439337600,0.117644373408215,1112,59,8033
1439424000,0.026340704046502,1164,65,9529
1439510400,0.126770876913343,1144,65,7164
1439596800,0.129352516056808,1350,69,6294
1439683200,0.090300533476216,1672,80,6528
1439769600,0.083028118659733,1448,86,7516
1439856000,0.119524430398309,1337,69,11266
1439942400,0.127222510929361,1423,53,11741
1440028800,0.100356448212503,1534,52,10337
1440115200,0.114803004360535,1811,91,9526
1440201600,0.10820768655261,1876,66,7411
1440288000,0.143966073099266,1656,43,8932
1440374400,0.094344413891961,1464,45,11436
1440460800,0.1635433636975,1371,27,9503
1440547200,0.011609618348967,1611,24,10627
1440633600,0.088400281869211,1721,24,8331
1440720000,0.079664647137804,1697,31,7371
1440806400,0.025318249138615,1764,39,8043
1440892800,0.058320316787869,1727,62,9233
1440979200,0.20122226313067,1633,44,8710
1441065600,0.190642917697717,1583,52,9295
1441152000,0.082082741787906,1476,34,8402
1441238400,0.051253613687572,1515,33,7967
1441324800,0.141899038596783,1620,29,6925
1441411200,0.13700132271895,1640,50,5814
1441497600,0.108558071052486,1597,91,6183
1441584000,0.13367027098657,1573,78,7366
1441670400,0.198391236392901,1566,59,8373
1441756800,0.178667422916707,1455,52,7966
1441843200,0.079843269207685,1472,61,8087
1441929600,0.144333968347175,1559,42,7807
1442016000,0.244503553569465,1507,71,6732
1442102400,0.120916299800324,1542,36,6759
1442188800,0.11851401678801,1542,46,9968
1442275200,0.115176078165763,1646,47,8844
1442361600,0.174166561915033,1652,31,8529
1442448000,-0.015350142409522,1644,16,8761
1442534400,0.090334943411595,1689,66,9291
1442620800,0.1313877346351,1848,64,7344
1442707200,0.104135847179914,1817,73,7185
1442793600,0.096807160818622,1704,13,8482
1442880000,0.155295334912576,1766,29,9391
1442966400,0.031621295508561,1657,14,40016
1443052800,0.08631849224688,1627,12,7567
1443139200,0.217987249405811,1664,37,9114
1443225600,0.163038169873817,1737,36,5945
1443312000,0.128621738576448,1729,40,6308
1443398400,0.136387410561311,1701,52,7258
1443484800,0.167130693858855,1616,33,7439
1443571200,0.102003070347464,1501,17,7521
1443657600,0.047015083230351,1455,14,6915
1443744000,0.066912973479421,1523,54,6633
1443830400,0.134917625001248,1680,56,5799
1443916800,0.120438517018779,1635,60,6556
1444003200,0.129974093352018,1640,55,7937
1444089600,0.106454890055768,1537,28,10580
1444176000,0.052231878837651,1453,17,9002
1444262400,0.05209584100231,1271,15,7988
1444348800,0.22048442690045,1364,36,6977
1444435200,0.255443701667647,1391,52,5760
1444521600,0.190114755307958,1358,46,6282
1444608000,0.202746159646413,1412,44,7768
1444694400,0.200540751722731,1411,45,7733
1444780800,0.095650459297821,1466,24,9130
1444867200,0.067972528561401,1302,23,7470
1444953600,0.100745154904821,1316,35,6956
1445040000,0.078137060369481,1313,48,5901
1445126400,0.186281895834915,1405,44,6319
1445212800,0.184621528841762,1398,45,8297
1445299200,0.16984031784157,1229,31,8665
1445385600,0.158414095093949,0,39,8204
1445472000,0.075736724075467,1216,21,8587
1445558400,0.136875545370273,1361,41,8024
1445644800,0.156117609877964,1377,56,6160
1445731200,0.220274882971126,1483,79,6783
1445817600,0.07878113241734,1568,107,8519
1445904000,0.223036124792334,1833,77,9033
1445990400,0.183560289138903,1202,27,9695
1446076800,0.129641979757603,672,27,10211
1446163200,0.160477037759704,856,69,9029
1446249600,0.167392336054264,1096,122,6855
1446336000,0.132090030793693,1620,77,8294
1446422400,0.084223402723354,1775,82,10020
1446508800,0.109691621719983,1308,60,11545
1446595200,0.141502594659525,1297,51,14390
1446681600,0.151079863362434,1519,40,16294
1446768000,0.187200210870425,1487,49,11448
1446854400,0.108682115127803,1617,71,8075
1446940800,0.148462940357711,1624,66,7956
1447027200,0.111981190447637,1535,55,11166
1447113600,0.126255059114401,1420,50,10928
1447200000,0.111173182236098,1381,21,9358
1447286400,0.136109516392116,1516,31,9258
1447372800,0.106658414051459,1614,70,8749
1447459200,0.096198427766227,1730,40,6794
1447545600,0.133527378133405,1675,33,7023
1447632000,0.020632044117553,1715,62,8825
1447718400,0.082516265847909,1756,41,9949
1447804800,0.126527792814898,1560,31,9285
1447891200,0.070877323050494,1158,13,8819
1447977600,0.100301286575483,1113,48,8254
1448064000,0.21210821722722,1185,85,7416
1448150400,0.159089249175845,1149,60,7287
1448236800,0.165923310738118,1176,43,8246
1448323200,0.098751384626723,1197,36,7454
1448409600,0.164995817719324,1351,33,7164
1448496000,0.104095662551248,1674,28,9513
1448582400,0.181378646670811,1775,60,7169
1448668800,0.282289436335608,1973,58,6462
1448755200,0.123828516206283,1851,60,7059
1448841600,0.137513192293928,1718,57,9143
1448928000,0.134525304597817,1670,42,9392
1449014400,0.171669156774316,1358,34,8799
1449100800,0.183283114085889,703,79,8288
1449187200,0.093220905324803,741,74,8029
1449273600,0.130427006601863,783,43,7077
